序號,券商,價格,買進股數,賣出股數
724,921Y 凱基東勢,181,7060,0
725,9221 凱基新竹,180.5,10000,0
726,9221 凱基新竹,181,4000,1472
727,9223 凱基豐中,181,1000,2000
728,9227 凱基城中,180.5,2000,3000
729,9227 凱基城中,181,33000,2000
730,9229 凱基中山,180.5,51000,1000
731,9229 凱基中山,181,1000,3000
732,922C 凱基屏東,180.5,4000,0
733,922H 凱基復興,180.5,1000,0
734,922H 凱基復興,181,2000,0
735,922H 凱基復興,181.5,2000,0
736,9231 凱基員林,181,50,0
737,9232 凱基建成,181,0,10
738,9233 凱基長庚,180.5,2000,0
739,9233 凱基長庚,181,600,0
740,9234 凱基竹北,180.5,20000,2000
741,9234 凱基竹北,181,2000,0
742,9235 凱基永華,180.5,2000,0
743,9237 凱基敦北,180.5,10000,1000
744,9237 凱基敦北,181,9150,5000
745,9238 凱基士林,180.5,3000,0
746,9238 凱基士林,181,2000,300
747,9239 凱基市政,180.5,1000,0
748,9243 凱基七賢,181,4000,0
749,9252 凱基嘉義,180.5,1000,0
750,9252 凱基嘉義,181,2000,0
751,9254 凱基科園,180.5,1000,0
752,9259 凱基澄新,181,0,100
753,9266 凱基新豐,180.5,1000,0
754,9266 凱基新豐,181,100,0
755,9268 凱基台北,180,0,2000
756,9268 凱基台北,180.5,7000,1733000
757,9268 凱基台北,181,121000,2475000
758,9268 凱基台北,181.5,0,208000
759,9272 凱基竹科,180.5,15000,0
760,9272 凱基竹科,181,1000,0
761,9272 凱基竹科,181.5,1000,0
762,9273 凱基竹東,181,1000,0
763,9274 凱基鳳山,181,1500,0
764,9281 凱基斗六,181,1000,0
765,9283 凱基北門,180.5,1000,0
766,9283 凱基北門,181,16,0
767,9285 凱基中壢,181,2000,0
768,9287 凱基內湖,180.5,1000,0
769,9288 凱基埔墘,180.5,2000,0
770,9289 凱基興隆,180,0,2000
771,9289 凱基興隆,180.5,1000,0
772,9289 凱基興隆,181,2000,0
773,9291 凱基大安,180.5,1000,0
774,9291 凱基大安,181,1100,0
775,9294 凱基西屯,180.5,1000,0
776,9296 凱基頭份,180.5,0,1000
777,9296 凱基頭份,181,1000,0
778,9298 凱基延平,181,11000,0
779,9300 華南永昌,180,0,1000
780,9300 華南永昌,180.5,65000,0
781,9300 華南永昌,181,73000,0
782,9300 華南永昌,181.5,1000,0
783,9302 華南台中,180.5,0,2000
784,9302 華南台中,181,2000,0
785,9302 華南台中,181.5,0,1000
786,9303 華南高雄,181,1000,0
787,9305 華南新莊,181,0,1000
788,9306 華南台南,180,1000,0
789,9306 華南台南,181,0,591
790,9307 華南大安,180.5,4000,0
791,9308 華南麻豆,180.5,1000,0
792,9309 華南古亭,180.5,2000,0
793,9309 華南古亭,181,2010,1000
794,9315 華南苑裡,180.5,1000,0
795,9316 華南淡水,181,1000,0
796,9317 華南林口,180,0,1000
797,9317 華南林口,180.5,1000,0
798,9319 華南鶯歌,180.5,1000,0
799,9319 華南鶯歌,181,0,1475
800,9322 華南公誠,180.5,3000,0
801,9322 華南公誠,181,1000,0
802,9325 華南忠孝,181,1000,0
803,9326 華南南京,181,1000,0
804,9329 華南朴子,180,1000,0
805,9332 華南楠梓,180.5,5000,0
806,9333 華南長虹,180.5,1000,0
807,9333 華南長虹,181.5,5000,0
808,9334 華南世貿,180.5,2000,0
809,9334 華南世貿,181,5,0
810,9336 華南士林,180.5,1000,0
811,9337 華南內壢,181,112,0
812,9348 華南五權,181,0,1000
813,9349 華南合泰,181,27000,0
814,9352 華南桃園,180.5,1000,0
815,9358 華南東勢,181,1000,1000
816,9359 華南中正,181,2000,0
817,9363 華南彰化,180.5,1000,0
818,9363 華南彰化,181,1000,0
819,9365 華南八里,180.5,1000,0
820,9381 華南斗南,180.5,10000,0
821,9600 富邦,180.5,1505000,0
822,9600 富邦,181,700000,0
823,9604 富邦陽明,180,5000,0
824,9604 富邦陽明,181,1000,0
825,9607 富邦古亭,180.5,1000,0
826,9615 富邦木柵,181,1400,0
827,9616 富邦岡山,180.5,8000,0
828,9616 富邦岡山,181,1000,0
829,9618 富邦大同,180.5,6000,0
830,9618 富邦大同,181,4000,0
831,9621 富邦花蓮,180,1000,0
832,9622 富邦園區,180,2000,0
833,9622 富邦園區,180.5,1000,0
834,9622 富邦園區,181,2000,149
835,9623 富邦台北,181,3000,0
836,9624 富邦竹北,180.5,10000,0
837,9624 富邦竹北,181,1000,0
838,9625 富邦竹東,180.5,15000,0
839,9625 富邦竹東,181,3000,3000
840,9627 富邦內湖,180.5,1000,0
841,9627 富邦內湖,181,2000,2010
842,9627 富邦內湖,181.5,1000,0
843,9636 富邦中壢,180,1000,0
844,9636 富邦中壢,180.5,1000,0
845,9636 富邦中壢,181,10,0
846,9645 富邦南京,180.5,3000,0
847,9647 富邦新華,180.5,1000,0
848,9647 富邦新華,181,6000,1009
849,9651 富邦民生,180.5,4000,0
850,9651 富邦民生,181,1000,0
851,9652 富邦世貿,180.5,6000,0
852,9652 富邦世貿,181,100,0
853,9653 富邦延平,181,0,3000
854,9654 富邦永和,180.5,3000,0
855,9655 富邦板橋,180.5,1000,0
856,9655 富邦板橋,181,2100,30
857,9656 富邦三民,181.5,1000,2000
858,9657 富邦苗栗,180.5,1000,0
859,9658 富邦建國,180,0,1000
860,9658 富邦建國,180.5,1000,0
861,9658 富邦建國,181,1000,9
862,9659 富邦高雄,180.5,1000,0
863,9659 富邦高雄,181,0,1000
864,965K 富邦台中,180.5,1000,0
865,965K 富邦台中,181,1000,200
866,965U 富邦彰化,181,2000,1000
867,965U 富邦彰化,181.5,1000,0
868,9663 富邦敦南,181,1100,0
869,9664 富邦天母,181,1000,0
870,9665 富邦桃園,180,2000,0
871,9665 富邦桃園,181,1050,0
872,9665 富邦桃園,181.5,1000,0
873,9666 富邦南屯,180.5,1000,0
874,9666 富邦南屯,181,3000,294
875,9667 富邦台南,180.5,1000,0
876,9667 富邦台南,181,200,3206
877,9667 富邦台南,181.5,2000,0
878,966F 富邦左營,180,1000,0
879,966F 富邦左營,181,1000,20000
880,9671 富邦八德,180.5,30000,0
881,9671 富邦八德,181,0,2000
882,9672 富邦員林,181,10,150
883,9676 富邦仁愛,180.5,4000,1000
884,9676 富邦仁愛,181,7275,1000
885,9677 富邦三重,181,1,0
886,9678 富邦北投,180.5,1000,3000
887,9678 富邦北投,181,1000,1000
888,9679 富邦延吉,180.5,2000,0
889,9686 富邦宜蘭,180.5,6000,0
890,9689 富邦重慶,181.5,1000,0
891,9693 富邦新營,181,1000,0
892,9694 富邦中山,180.5,7000,0
893,9694 富邦中山,181,20000,0
894,9697 富邦虎尾,181,100,1000
895,9800 元大,180,50000,1000
896,9800 元大,180.5,442000,114000
897,9800 元大,181,208000,206000
898,9800 元大,181.5,10000,28000
899,9801 元大松江,180.5,1000,2000
900,9801 元大松江,181,0,2000
901,980a 元大承德,180.5,1000,0
902,980a 元大承德,181,100,0
903,980C 元大斗六,180.5,2000,0
904,980C 元大斗六,181,2000,0
905,980D 元大開元,180.5,1000,0
906,980e 元大清水,180,1000,0
907,980e 元大清水,181,1000,0
908,980h 元大台北,180.5,1000,0
909,980h 元大台北,181,1000,1000
910,980K 元大竹科,180.5,3000,0
911,980K 元大竹科,181,6000,4306
912,980Q 元大南崁,180.5,1000,0
913,980Q 元大南崁,181,0,1000
914,980R 元大南海,180.5,2000,0
915,980u 元大府城,181,1000,0
916,980w 元大西屯,181,0,1000
917,980w 元大西屯,181.5,2000,0
918,9812 元大台中,180.5,2000,0
919,9812 元大台中,181,520,0
920,9813 元大八德,181,1000,0
921,9814 元大大益,180.5,2000,0
922,9814 元大大益,181,1000,0
923,9815 元大永康,181,4000,1000
924,9816 元大新竹,181,1000,0
925,9817 元大東泰,180.5,1000,0
926,9817 元大東泰,181,1000,0
927,981a 元大歸仁,181,1000,0
928,981A 元大鶯歌,180.5,1000,0
929,981A 元大鶯歌,181,30,0
930,981B 元大竹北,181,0,5000
931,981C 元大路竹,180.5,1000,0
932,981C 元大路竹,181,1000,1000
933,981D 元大南投,180.5,0,1000
934,981D 元大南投,181,1010,1000
935,981e 元大佳里,180.5,1000,0
936,981e 元大佳里,181,2016,0
937,981e 元大佳里,181.5,2000,0
938,981E 元大發財,181,3000,0
939,981g 元大大里,180.5,1000,0
940,981g 元大大里,181,23000,0
941,981G 元大彰化,181,1000,0
942,981h 元大屏生,180,0,2000
943,981h 元大屏生,180.5,1000,1000
944,981h 元大屏生,181,5000,1000
945,981h 元大屏生,181.5,1000,0
946,981i 元大西螺,180.5,0,2000
947,981I 元大天母,180.5,2000,0
948,981I 元大天母,181,0,279
949,981j 元大士林,180.5,0,2000
950,981j 元大士林,181,2100,1000
951,981K 元大林園,180.5,7000,0
952,981L 元大莒光,180.5,0,2000
953,981L 元大莒光,181,2000,0
954,981m 元大新興,180,3000,0
955,981m 元大新興,180.5,2000,0
956,981m 元大新興,181,1030,1000
957,981n 元大旗山,181,1000,0
958,981N 元大金門,181,100,0
959,981p 元大松山,180.5,2000,0
960,981p 元大松山,181,1000,0
961,981q 元大艋舺,180.5,3000,0
962,981q 元大艋舺,181,3000,97
963,981Q 元大太平,180.5,0,1000
964,981r 元大屏南,180,1000,0
965,981r 元大屏南,180.5,1000,0
966,981r 元大屏南,181,3000,0
967,981S 元大崇德,181,2000,0
968,981U 元大華山,181,100,0
969,981V 元大民雄,181,8000,0
970,981X 元大東門,180.5,5000,0
971,981X 元大東門,181,1000,0
972,981y 元大善化,180.5,1000,0
973,981z 元大大統,180.5,2000,0
974,9822 元大學府,180.5,1000,0
975,9824 元大向上,180.5,2000,0
976,9825 元大新營,180.5,0,4000
977,9825 元大新營,181,0,1000
978,9825 元大新營,181.5,0,1000
979,9829 元大南康,180.5,1000,0
980,9829 元大南康,181,1000,0
981,982A 元大羅東,180.5,1000,0
982,982A 元大羅東,181,1000,0
983,982B 元大博愛,180,1000,0
984,982B 元大博愛,180.5,3000,0
985,982B 元大博愛,181,2300,2000
986,982C 元大六合,180.5,1000,0
987,982C 元大六合,181,1000,12000
988,982C 元大六合,181.5,1000,0
989,982F 元大忠鼎,180.5,99000,0
990,982F 元大忠鼎,181,1000,0
991,9831 元大四維,180.5,2000,1000
992,9831 元大四維,181,2000,1000
993,9833 元大敦化,180.5,2000,0
994,9833 元大敦化,181,100,0
995,9834 元大中壢,180.5,1000,0
996,9834 元大中壢,181,3050,0
997,9834 元大中壢,181.5,2000,0
998,9835 元大員林,181,50,0
999,9837 元大北港,180.5,3000,0
1000,9838 元大豐原,180.5,0,1000
1001,9838 元大豐原,181,7000,0
1002,983G 元大上新,180.5,3000,0
1003,983i 元大民興,181,0,2000
1004,983K 元大學甲,181,2000,0
1005,983M 元大木柵,180.5,5000,0
1006,983M 元大木柵,181,10000,1000
1007,983U 元大頭份,181,1000,483
1008,983V 元大竹南,180.5,5000,0
1009,983V 元大竹南,181,1000,0
1010,983W 元大德芳,180.5,3000,0
1011,983W 元大德芳,181,0,3000
1012,983Z 元大鳳山,181,0,507
1013,984C 元大新中,180.5,2000,0
1014,984C 元大新中,181.5,0,1000
1015,984E 元大南勢,181,0,1000
1016,984H 元大景美,180.5,1000,0
1017,984K 元大館前,180,0,1000
1018,984K 元大館前,180.5,2000,1000
1019,984K 元大館前,181,3000,7000
1020,9853 元大南屯,180.5,2000,0
1021,9853 元大南屯,181.5,3000,0
1022,9854 元大文心,180.5,1000,0
1023,9856 元大花蓮,181,3000,0
1024,9857 元大東蘆,180.5,1000,0
1025,9857 元大東蘆,181.5,1000,0
1026,9858 元大龍潭,180.5,1000,0
1027,9858 元大龍潭,181,1300,0
1028,9859 元大經國,180.5,2000,0
1029,9859 元大經國,181,8100,1000
1030,9859 元大經國,181.5,0,1000
1031,9862 元大南京,180.5,2000,0
1032,9862 元大南京,181,3000,4000
1033,9863 元大新和,180.5,1000,0
1034,9863 元大新和,181,1000,0
1035,9866 元大樹板,181,100,0
1036,9867 元大北成,181,81,0
1037,9868 元大水湳,180.5,1000,0
1038,9868 元大水湳,181.5,15000,0
1039,9869 元大新盛,180.5,1000,0
1040,9869 元大新盛,181,100,6000
1041,986K 元大基孝,181,5000,0
1042,9871 元大忠孝,180.5,2000,0
1043,9872 元大復北,180.5,1000,1000
1044,9872 元大復北,181,300158,1000
1045,9873 元大西門,180.5,1000,0
1046,9873 元大西門,181,2000,0
1047,9874 元大雙和,180.5,6000,0
1048,9875 元大永寧,180.5,1000,0
1049,9878 元大赤崁,181,2000,0
1050,9878 元大赤崁,181.5,1000,0
1051,9879 元大板三,180.5,0,1000
1052,9879 元大板三,181,22000,0
1053,987A 元大楊梅,181,6000,0
1054,987D 元大新壢,181,3000,0
1055,9888 元大鑫永,180.5,1000,0
1056,9888 元大鑫永,181,3000,0
1057,9889 元大北員,181,1000,1149
1058,988B 元大藝文,180,2000,0
1059,9891 元大永和,181,100,0
1060,9893 元大大天,180.5,2000,7000
1061,9893 元大大天,181,1000,1000
1062,9894 元大北桃,181,1103,0
1063,9896 元大台南,180.5,1000,0
1064,9896 元大台南,181,1000,723
1065,9896 元大台南,181.5,10000,0
1066,9897 元大土城,180.5,1000,0
1067,9898 元大新莊,180.5,2000,1000
1068,9898 元大新莊,181,1000,1000
1069,9899 元大淡水,181,1000,0
1070,989a 元大苑裡,181,1000,1000
1071,989B 元大中港,180.5,0,1000
1072,989B 元大中港,181,3020,0
1073,989C 元大板橋,180.5,1000,0
1074,989C 元大板橋,181,1000,1000
1075,989d 元大北屯,181,2000,0
1076,989D 元大左營,180.5,1000,0
1077,989D 元大左營,181,2000,0
1078,989e 元大中和,180.5,1000,30000
1079,989e 元大中和,181,1000,0
1080,989E 元大草屯,180.5,1000,0
1081,989F 元大高雄,180.5,1000,0
1082,989F 元大高雄,181,1000,1000
1083,989G 元大大同,180.5,1000,0
1084,989G 元大大同,181,1172,0
1085,989I 元大蘆洲,181,0,1000
1086,989j 元大樹林,180.5,2000,0
1087,989j 元大樹林,181,2000,5000
1088,989J 元大彰生,180.5,1000,0
1089,989J 元大彰生,181,1000,0
1090,989k 元大古亭,181,0,1000
1091,989L 元大成功,181,100,0
1092,989m 元大信義,181,80,0
1093,989N 元大內湖,180.5,3000,0
1094,989N 元大內湖,181,3000,0
1095,989P 元大敦南,180.5,2000,0
1096,989P 元大敦南,181,1000,0
1097,989P 元大敦南,181.5,0,1000
1098,989Q 元大汐止,180.5,3000,0
1099,989Q 元大汐止,181,0,1000
1100,989S 元大鹿港,180.5,1000,0
1101,989U 元大大甲,180.5,11000,7000
1102,989U 元大大甲,181,1000,0
1103,989V 元大北重,181,0,2000
1104,989V 元大北重,181.5,2000,0
1105,989W 元大站前,180.5,2000,0
1106,989W 元大站前,181,1000,0
1107,989X 元大民生,180.5,8000,0
1108,989Z 元大小港,181,2000,0
1109,9A00 永豐金,180,6000,0
1110,9A00 永豐金,180.5,88000,221000
1111,9A00 永豐金,181,219000,84420
1112,9A00 永豐金,181.5,53000,35000
1113,9A61 永豐鳳山,181,100,0
1114,9A68 永豐五權,181,0,1000
1115,9A68 永豐五權,181.5,1000,0
1116,9A69 永豐屏東,181,1000,0
1117,9A71 永豐成功,181,1000,1000
1118,9A76 永豐城中,180.5,30000,1000
1119,9A8F 永豐敦南,180,1000,0
1120,9A8F 永豐敦南,180.5,3000,0
1121,9A8F 永豐敦南,181,3000,0
1122,9A91 永豐松山,181,3000,0
1123,9A92 永豐萬盛,181.5,0,1000
1124,9A93 永豐大稻,180.5,6000,4000
1125,9A93 永豐大稻,181,0,2000
1126,9A97 永豐新竹,180.5,1000,0
1127,9A97 永豐新竹,181,1050,0
1128,9A97 永豐新竹,181.5,1000,0
1129,9A98 永豐大園,180.5,3000,0
1130,9A9a 永豐苓雅,180.5,3000,1000
1131,9A9a 永豐苓雅,181,4100,8000
1132,9A9a 永豐苓雅,181.5,2000,0
1133,9A9c 永豐永康,180.5,2000,0
1134,9A9c 永豐永康,181,1000,1000
1135,9A9C 永豐員林,180.5,1000,0
1136,9A9D 永豐忠孝,181,1000,0
1137,9A9e 永豐高雄,180.5,1000,0
1138,9A9E 永豐板橋,180.5,2000,3000
1139,9A9E 永豐板橋,181,0,528
1140,9A9f 永豐中盛,180.5,1000,0
1141,9A9f 永豐中盛,181,1000,0
1142,9A9F 永豐安和,180.5,1000,0
1143,9A9g 永豐內湖,180,1000,0
1144,9A9g 永豐內湖,181,0,2000
1145,9A9G 永豐天母,180.5,2000,2000
1146,9A9G 永豐天母,181,5000,0
1147,9A9H 永豐新莊,180.5,1000,0
1148,9A9i 永豐新店,181,100000,0
1149,9A9j 永豐嘉義,180.5,2000,0
1150,9A9J 永豐板新,180.5,11000,2000
1151,9A9J 永豐板新,181,0,200
1152,9A9k 永豐桃中,180.5,1000,0
1153,9A9k 永豐桃中,181,1000,0
1154,9A9L 永豐台中,181,1000,15000
1155,9A9m 永豐板南,180.5,1000,1000
1156,9A9N 永豐桃盛,181,1000,0
1157,9A9p 永豐府城,181,21000,0
1158,9A9P 永豐竹北,180.5,1000,0
1159,9A9P 永豐竹北,181,1000,1000
1160,9A9q 永豐潮洲,181,0,1000
1161,9A9Q 永豐豐原,181,2000,0
1162,9A9s 永豐彰化,181,4000,0
1163,9A9S 永豐南京,180.5,6000,0
1164,9A9S 永豐南京,181,0,2000
1165,9A9S 永豐南京,181.5,0,1000
1166,9A9U 永豐中正,180.5,2000,0
1167,9A9U 永豐中正,181,0,897
1168,9A9v 永豐光復,181,1000,0
1169,9A9V 永豐三民,180.5,1000,0
1170,9A9V 永豐三民,181,1000,0
1171,9A9W 永豐市政,181,4100,0
1172,9A9x 永豐桃園,180.5,1000,10000
1173,9A9x 永豐桃園,181,0,2000
1174,9A9X 永豐竹科,180.5,3000,0
1175,9A9X 永豐竹科,181,0,1000
1176,9A9Y 永豐板盛,181,200,0
1177,9A9Z 永豐復興,181,3000,0
