序號,券商,價格,買進股數,賣出股數
162,5260 大    慶,181.5,0,50000
163,5261 大慶蘆洲,181,1000,0
164,5264 大慶高雄,181,90,0
165,5265 大慶苗栗,180.5,5000,9000
166,5268 大慶台南,181,5000,0
167,5269 大慶台中,180.5,2000,0
168,5269 大慶台中,181,2000,0
169,526A 大慶中和,181,0,1000
170,526K 大慶富順,180.5,10000,1000
171,526L 大慶長榮,180.5,1000,0
172,5320 高    橋,180.5,1000,0
173,5320 高    橋,181,7000,0
174,5321 高橋龍潭,180,1000,0
175,5321 高橋龍潭,180.5,1000,0
176,5380 第一金證,180,2000,0
177,5380 第一金證,180.5,3000,0
178,5382 第一台中,180.5,1000,0
179,5382 第一台中,181,1000,1000
180,5383 第一高雄,181,1020,3000
181,5384 第一台南,180,2000,0
182,5384 第一台南,180.5,1000,1000
183,5384 第一台南,181,1301,5000
184,5385 第一桃園,180.5,1000,0
185,5389 第一中山,180.5,2000,1000
186,538A 第一新興,180.5,0,1000
187,538A 第一新興,181,4000,0
188,538B 第一新竹,180.5,2000,0
189,538D 第一忠孝,180,3000,0
190,538D 第一忠孝,181,7000,1000
191,538E 第一自由,180.5,2000,0
192,538E 第一自由,181,2000,50
193,538I 第一頭份,181,1000,0
194,538j 第一安和,181,1000,0
195,538N 第一豐原,181,0,2000
196,538W 第一華江,181,2000,0
197,5600 永    興,180.5,3000,0
198,5600 永    興,181,1000,0
199,5602 永興水湳,181,0,100
200,5603 永興台中,181,100,1000
201,5604 永興大墩,180,0,3000
202,5660 日    進,180.5,1000,0
203,5850 統    一,180.5,88000,1000
204,5850 統    一,181,112000,0
205,5850 統    一,181.5,12000,0
206,5851 統一高雄,181,1000,0
207,5852 統一敦南,180.5,26000,0
208,5852 統一敦南,181,4000,3000
209,5853 統一中壢,180,1000,0
210,5853 統一中壢,180.5,11000,0
211,5853 統一中壢,181,2000,0
212,5854 統一城中,180,2000,0
213,5854 統一城中,180.5,1000,0
214,5854 統一城中,181,1000,0
215,5855 統一台南,181,2000,0
216,5857 統一新竹,180.5,10000,0
217,5857 統一新竹,181,3000,0
218,5857 統一新竹,181.5,1000,0
219,5858 統一嘉義,180.5,1000,0
220,5859 統一屏東,180.5,2000,0
221,5859 統一屏東,181,5000,0
222,585A 統一基隆,180.5,0,4000
223,585b 統一內湖,180.5,1000,0
224,585b 統一內湖,181,4000,5000
225,585c 統一仁愛,180.5,10000,0
226,585D 統一新台中,181,10,1000
227,585E 統一新營,181,2000,862
228,585g 統一平鎮,181,1000,0
229,585H 統一桃園,180.5,1000,0
230,585J 統一三重,180.5,10000,0
231,585J 統一三重,181,10000,0
232,585M 統一士林,180.5,1000,0
233,585P 統一板橋,180.5,1000,0
234,585Q 統一三多,181,0,2000
235,585R 統一汐止,180.5,2000,0
236,585S 統一宜蘭,180.5,0,1000
237,585U 統一南京,181,97000,0
238,585W 統一金門,180.5,1000,0
239,585Y 統一土城,180.5,1000,0
240,585Z 統一松江,181,5000,0
241,5862 盈溢楠梓,181.5,0,3000
242,5870 光    隆,181,2000,2000
243,5920 元    富,180.5,6000,0
244,5920 元    富,181,11011,0
245,5921 元富高雄,180.5,0,1000
246,5921 元富高雄,181,16100,1000
247,5923 元富三重,180.5,2000,0
248,5923 元富三重,181,2130,0
249,5925 元富台中,180.5,60000,130000
250,5925 元富台中,181,75016,0
251,5925 元富台中,181.5,50000,0
252,5927 元富林園,180,1000,0
253,5927 元富林園,180.5,5000,0
254,5927 元富林園,181,0,1000
255,5929 元富台南,181,1071,0
256,592a 元富松德,181.5,10000,0
257,592A 元富緯城,181,4000,0
258,592b 元富板橋,181,1005,0
259,592c 元富烏日,180.5,2000,0
260,592c 元富烏日,181,66,0
261,592C 元富潮洲,180.5,3000,0
262,592C 元富潮洲,181,2000,0
263,592d 元富延平,181,4000,0
264,592D 元富大昌,180.5,2000,0
265,592D 元富大昌,181,2150,1000
266,592e 元富古亭,180.5,3000,0
267,592e 元富古亭,181,8054,5000
268,592E 元富城中,180.5,0,2000
269,592E 元富城中,181,6000,0
270,592g 元富中原,181,16,0
271,592G 元富新竹,180.5,1000,0
272,592G 元富新竹,181,38,0
273,592H 元富信義,181.5,1000,4000
274,592i 元富中港,181,3000,0
275,592I 元富嘉義,180.5,0,3000
276,592I 元富嘉義,181,5,0
277,592j 元富府中,180.5,1000,0
278,592j 元富府中,181,0,21000
279,592l 元富大裕,180.5,1000,0
280,592l 元富大裕,181,8000,0
281,592L 元富中壢,180.5,1000,0
282,592L 元富中壢,181,50,0
283,592m 元富成功,180.5,1000,0
284,592m 元富成功,181,0,1200
285,592n 元富西松,181,2000,2000
286,592N 元富虎尾,181,1000,0
287,592o 元富新興,181,2,0
288,592P 元富同大,180.5,3000,0
289,592P 元富同大,181,100,10000
290,592q 元富屏東,180.5,1000,0
291,592q 元富屏東,181,1050,0
292,592Q 元富敦南,181,2000,0
293,592r 元富城東,180,1000,0
294,592r 元富城東,180.5,7000,0
295,592r 元富城東,181,17000,0
296,592S 元富基隆,180.5,1000,0
297,592S 元富基隆,181,1000,0
298,592u 元富世貿,180.5,3000,2000
299,592u 元富世貿,181,2000,0
300,592U 元富宜蘭,181,0,1000
301,592v 元富桃園,180.5,1000,0
302,592v 元富桃園,181,1100,2000
303,592V 元富民權,180.5,1000,0
304,592w 元富佳里,180.5,2000,0
305,592w 元富佳里,181,1000,1000
306,592W 元富吉利,180.5,1000,0
307,592W 元富吉利,181,0,1000
308,592W 元富吉利,181.5,1000,0
309,592y 元富花蓮,181,143,0
310,592z 元富文心,180.5,3000,0
311,592z 元富文心,181,16,50
312,592Z 元富安南,180.5,1000,0
313,592Z 元富安南,181,16,1000
314,5960 日    茂,181,0,4
315,5961 日茂埔里,180.5,1000,0
316,6010 ★    亞,180,1000,0
317,6010 ★    亞,180.5,1000,0
318,6010 ★    亞,181,1000,0
319,6012 ★亞網路,180.5,1000,1000
320,6012 ★亞網路,181,3000,2000
321,6110 台中銀,180.5,1000,0
322,6110 台中銀,181,2000,450
323,6114 中銀員林,181,1000,0
324,6160 中國信託,180.5,5000,0
325,6160 中國信託,181,8000,0
326,6162 中信託忠,180,4000,0
327,6162 中信託忠,180.5,10000,0
328,6162 中信託忠,181,10000,0
329,6163 中信託永,180.5,1000,0
330,6164 中信託文,181,5000,0
331,6164 中信託文,181.5,10000,0
332,6165 中信託新,180,2000,0
333,6165 中信託新,180.5,2000,0
334,6165 中信託新,181,5000,1000
335,6165 中信託新,181.5,2000,0
336,6166 中信桃園,180.5,1000,0
337,6168 中信嘉義,180.5,1000,0
338,6168 中信嘉義,181,1000,0
339,6169 中信雙和,180.5,0,3000
340,6169 中信雙和,181,0,3000
341,616A 中信中壢,181,0,45
342,616K 中信託高,181,2000,0
343,6210 新 百 王,180.5,1000,2000
344,6210 新 百 王,181,1000,0
345,6380 光    和,180.5,3000,0
346,6380 光    和,181,3000,0
347,6381 光和溪湖,180.5,5000,0
348,6382 光和田中,181,0,50
349,6383 光和和美,181,1000,0
350,6450 永    全,181.5,1000,0
351,6452 永全八德,180.5,1000,0
352,6460 大    昌,180.5,3000,0
353,6461 大昌樹林,180.5,6000,0
354,6461 大昌樹林,181,0,3000
355,6461 大昌樹林,181.5,3000,0
356,6462 大昌安康,180.5,2000,0
357,6463 大昌新竹,181,3000,0
358,6464 大昌新店,180.5,2000,0
359,6464 大昌新店,181,0,100
360,6465 大昌桃園,181,1000,0
361,6530 大    眾,180.5,5000,11000
362,6530 大    眾,181,11000,2000
363,6530 大    眾,181.5,0,1000
364,6531 大眾左楠,180.5,2000,2000
365,6531 大眾左楠,181,0,1000
366,6532 大眾松江,180.5,1000,0
367,6534 大眾中山,181,3000,0
368,6535 大眾大安,181,1000,0
369,6536 大眾新莊,180.5,1000,0
370,6537 大眾松山,180.5,1000,0
371,6538 大眾新營,180.5,3000,0
372,6538 大眾新營,181,0,1000
373,6538 大眾新營,181.5,0,1000
374,6539 大眾永康,181,1000,0
375,653C 大眾通營,181,1000,0
376,653J 大眾台中,180,2000,0
377,653J 大眾台中,180.5,2000,0
378,653J 大眾台中,181,0,3000
379,6910 德    信,180.5,5000,0
380,6911 德信台北,181,1000,0
381,6912 德信中正,180,0,2000
382,6912 德信中正,180.5,2000,0
383,6915 德信和平,181,0,1000
384,6950 福    勝,181,2000,0
385,7000 兆豐,181,62000,20000
386,7001 兆豐嘉義,180.5,3000,3000
387,7003 兆豐台中,181,1000,0
388,7003 兆豐台中,181.5,2000,0
389,7005 兆豐中港,180.5,2000,0
390,7005 兆豐中港,181,2000,0
391,7006 兆豐台南,180.5,0,1000
392,7006 兆豐台南,181,1000,0
393,7006 兆豐台南,181.5,0,1000
394,7007 兆豐竹北,181,2000,0
395,7009 兆豐景美,180,1000,0
396,7009 兆豐景美,180.5,13000,0
397,7009 兆豐景美,181,9000,0
398,700a 兆豐忠孝,180.5,6000,0
399,700a 兆豐忠孝,181,7000,1020
400,700b 兆豐中壢,180.5,10000,0
401,700C 兆豐來福,180.5,2000,0
402,700C 兆豐來福,181,5000,0
403,700d 兆豐彰化,181,300,0
404,700D 兆豐西螺,181,1000,0
405,700D 兆豐西螺,181.5,2000,0
406,700E 兆豐斗南,181,2000,0
407,700f 兆豐鹿港,181.5,1000,0
408,700F 兆豐虎尾,181,0,512
409,700g 兆豐南門,180.5,3000,0
410,700g 兆豐南門,181,4000,0
411,700G 兆豐麻豆,181.5,0,1000
412,700h 兆豐三民,180.5,11000,0
413,700h 兆豐三民,181,1000,0
414,700H 兆豐東門,180.5,0,1000
415,700H 兆豐東門,181,1000,1000
416,700H 兆豐東門,181.5,1000,0
417,700I 兆豐北高,181,1000,0
418,700j 兆豐大安,181,1000,0
