產業別,公司代號,名稱,股價日期,成交,漲跌價,漲跌幅,成交張數,市場,面值(元),股本(億),市值(億),成立年數,上市年數,董事長,總經理
建材營造業,6171,亞銳士,3月2日,10.9,0,0%,21,上櫃,10,7.54,8.21,21.6,14.9,賴源釗,賴源釗
電子零組件業,6173,信昌電,3月2日,19.5,0.4,2.09%,"10,613",上櫃,10,18.5,36.1,26.8,14.9,焦佑衡,楊進興
電子零組件業,6174,安碁,3月2日,15.45,0,0%,9,上櫃,10,5,7.72,26.3,14.8,林逸倫,李靜怡
電子零組件業,6175,立敦,3月2日,17.75,-0.25,-1.39%,139,上櫃,10,13.8,24.5,23.3,14.7,吳德銓,柯村忺
其他業,6179,亞通,3月2日,51,-0.5,-0.97%,55,上櫃,10,5.02,25.6,21.9,14.8,呂元瑞,呂元瑞
資訊服務業,6180,橘子,3月2日,28.8,-0.05,-0.17%,272,上櫃,10,15.8,45.4,21.7,14.8,劉柏園,劉柏園
半導體業,6182,合晶,3月2日,16,-0.25,-1.54%,"5,633",上櫃,10,41.3,66.1,19.6,14.8,焦平海,陳春霖
電子零組件業,6185,幃翔,3月2日,23.1,-0.25,-1.07%,786,上櫃,10,11.9,27.5,28.9,14.6,陳文鏗,陳文鏗
建材營造業,6186,新潤,3月2日,24.7,0.25,1.02%,550,上櫃,10,7.17,17.7,18.9,14.6,黃文辰,黃文興
其他電子業,6187,萬潤,3月2日,74,-3.5,-4.52%,"5,825",上櫃,10,8.42,62.3,20.8,14.4,盧鏡來,鄭新耀
電腦及週邊設備業,6188,廣明,3月2日,36.5,-0.5,-1.35%,"4,482",上櫃,10,27.8,102,18.1,14.5,林百里,何世池
通信網路業,6190,萬泰科,3月2日,14.65,-0.1,-0.68%,"2,847",上櫃,10,12.3,18,38.7,19.1,張銘烈,陳謙忠
電子零組件業,6194,育富,3月2日,16.25,-0.15,-0.91%,44,上櫃,10,7.8,12.7,34,14.2,劉永幹,劉永幹
貿易百貨業,6195,詩肯,3月2日,51,-2,-3.77%,186,上櫃,10,4.3,21.9,21.4,14.4,林福勤,林福勤
半導體業,6198,凌泰,3月2日,22.4,-0.6,-2.61%,7,上櫃,10,2.01,4.51,18.3,14.2,張敦凱,張敦凱
其他業,6199,天品,3月2日,17.4,0,0%,0,上櫃,10,6.18,10.7,23.9,0.4,李振寬,李振寬
電子零組件業,6203,海韻電,3月2日,31.7,-0.25,-0.78%,37,上櫃,10,8,25.3,41.5,14.2,張正宗,張修誠
電子零組件業,6204,艾華,3月2日,20.95,-0.45,-2.10%,23,上櫃,10,3.61,7.56,47,14.3,黃子軒,黃子軒
